rows=7
cols=7
(0, 0, 5)
(0, 3, 8)
(0, 6, 9)
(1, 1, 7)
(1, 2, 5)
(1, 4, 6)
(2, 0, 3)
(2, 2, 4)
(2, 5, 10)
(3, 1, 6)
(3, 3, 12)
(3, 5, 7)
(4, 0, 2)
(4, 2, 9)
(4, 4, 3)
(4, 5, 8)
(5, 1, 11)
(5, 3, 2)
(5, 5, 5)
(6, 0, 1)
(6, 2, 6)
(6, 4, 4)
(0, 1, 3)
(1, 3, 9)
(2, 1, 6)
(3, 0, 4)
(4, 1, 2)
(5, 2, 7)
(6, 1, 5)
(0, 4, 6)
(1, 5, 1)
(2, 3, 11)
(3, 4, 13)
(4, 6, 10)
(5, 0, 5)
(6, 5, 3)
(0, 5, 4)
(1, 6, 2)
(2, 6, 12)
(3, 6, 6)
(4, 3, 4)
(5, 4, 3)
(6, 3, 7)
(0, 2, 8)
(1, 0, 4)
(2, 4, 5)
(3, 2, 2)
(4, 2, 3)
(5, 6, 9)
(6, 6, 14)
